OID_,Value,Count,Red,Green,Blue,Opacity,2001_Code,2001_Class,2005_Code,2005_Class,Class_Name,Bivariate_,1992_Color,1992_Col_1,1992_Col_2,2001_Color,2001_Col_1,2001_Col_2,Change_Red,Change_Gre,Change_Blu
,16,0,0.24,0,0.24,1,1,Unclassified,16,Estuarine Forested Wetland,Unclassified to Estuarine Forested Wetland,116,0,0,0,0.235294118,0,0.235294118,0.235294118,0,0.235294118
,17,0,0.43,0,0.43,1,1,Unclassified,17,Estuarine Scrub/Shrub Wetland,Unclassified to Estuarine Scrub/Shrub Wetland,117,0,0,0,0.42745098,0,0.42745098,0.42745098,0,0.42745098
,18,0,0.69,0,0.69,1,1,Unclassified,18,Estuarine Emergent Wetland,Unclassified to Estuarine Emergent Wetland,118,0,0,0,0.68627451,0,0.68627451,0.68627451,0,0.68627451
,19,0,0,0.95,0.95,1,1,Unclassified,19,Unconsolidated Shore,Unclassified to Unconsolidated Shore,119,0,0,0,0,0.949019608,0.949019608,0,0.949019608,0.949019608
,20,0,0.95,0.95,0,1,1,Unclassified,20,Bare Land,Unclassified to Bare Land,120,0,0,0,0.949019608,0.949019608,0,0.949019608,0.949019608,0
,21,0,0,0,0.47,1,1,Unclassified,21,Water,Unclassified to Water,121,0,0,0,0,0,0.466666667,0,0,0.466666667
,22,0,0,0,0.95,1,1,Unclassified,22,Palustrine Aquatic Bed,Unclassified to Palustrine Aquatic Bed,122,0,0,0,0,0,0.949019608,0,0,0.949019608
,23,0,0.4,0.46,0.86,1,1,Unclassified,23,Estuarine Aquatic Bed,Unclassified to Estuarine Aquatic Bed,123,0,0,0,0.4,0.458823529,0.858823529,0.4,0.458823529,0.858823529
,24,0,0.98,0.82,0,1,1,Unclassified,24,Tundra,Unclassified to Tundra,124,0,0,0,0.976470588,0.819607843,0,0.976470588,0.819607843,0
,25,0,0.67,0.98,0.94,1,1,Unclassified,25,Snow/Ice,Unclassified to Snow/Ice,125,0,0,0,0.666666667,0.976470588,0.937254902,0.666666667,0.976470588,0.937254902
,26,0,0,0,0,1,2,High Intensity Developed,1,Unclassified,High Intensity Developed to Unclassified,201,0.949019608,0.949019608,0.949019608,0,0,0,0,0,0
,27,15797,0.76,0.85,0.87,1,2,High Intensity Developed,2,High Intensity Developed,High Intensity Developed to High Intensity Developed,202,0.949019608,0.949019608,0.949019608,0.756862745,0.847058824,0.866666667,0.309803922,0.309803922,0.254901961
,28,0,0.66,0.6,0.66,1,2,High Intensity Developed,3,Medium Intensity Developed,High Intensity Developed to Medium Intensity Developed,203,0.949019608,0.949019608,0.949019608,0.658823529,0.6,0.658823529,0.658823529,0.6,0.658823529
,29,0,0.56,0.46,0.49,1,2,High Intensity Developed,4,Low Intensity Developed,High Intensity Developed to Low Intensity Developed,204,0.949019608,0.949019608,0.949019608,0.556862745,0.458823529,0.48627451,0.556862745,0.458823529,0.48627451
,30,0,0.76,0.8,0.22,1,2,High Intensity Developed,5,Developed Open Space,High Intensity Developed to Developed Open Space,205,0.949019608,0.949019608,0.949019608,0.756862745,0.8,0.219607843,0.756862745,0.8,0.219607843
,31,0,0.33,0.13,0,1,2,High Intensity Developed,6,Cultivated,High Intensity Developed to Cultivated,206,0.949019608,0.949019608,0.949019608,0.329411765,0.125490196,0,0.329411765,0.125490196,0
,32,0,0.76,0.63,0.31,1,2,High Intensity Developed,7,Pasture/Hay,High Intensity Developed to Pasture/Hay,207,0.949019608,0.949019608,0.949019608,0.756862745,0.62745098,0.309803922,0.756862745,0.62745098,0.309803922
,33,0,0.95,0.73,0.53,1,2,High Intensity Developed,8,Grassland,High Intensity Developed to Grassland,208,0.949019608,0.949019608,0.949019608,0.949019608,0.729411765,0.529411765,0.949019608,0.729411765,0.529411765
,34,0,0,0.95,0,1,2,High Intensity Developed,9,Deciduous Forest,High Intensity Developed to Deciduous Forest,209,0.949019608,0.949019608,0.949019608,0,0.949019608,0,0,0.949019608,0
,35,0,0,0.23,0,1,2,High Intensity Developed,10,Evergreen Forest,High Intensity Developed to Evergreen Forest,210,0.949019608,0.949019608,0.949019608,0,0.22745098,0,0,0.22745098,0
,36,0,0.03,0.63,0.23,1,2,High Intensity Developed,11,Mixed Forest,High Intensity Developed to Mixed Forest,211,0.949019608,0.949019608,0.949019608,0.02745098,0.62745098,0.22745098,0.02745098,0.62745098,0.22745098
,37,0,0.43,0.43,0,1,2,High Intensity Developed,12,Scrub/Shrub,High Intensity Developed to Scrub/Shrub,212,0.949019608,0.949019608,0.949019608,0.42745098,0.42745098,0,0.42745098,0.42745098,0
,38,0,0,0.36,0.36,1,2,High Intensity Developed,13,Palustrine Forested Wetland,High Intensity Developed to Palustrine Forested Wetland,213,0.949019608,0.949019608,0.949019608,0,0.356862745,0.356862745,0,0.356862745,0.356862745
,39,0,0.95,0.43,0,1,2,High Intensity Developed,14,Palustrine Scrub/Shrub Wetland,High Intensity Developed to Palustrine Scrub/Shrub Wetland,214,0.949019608,0.949019608,0.949019608,0.949019608,0.42745098,0,0.949019608,0.42745098,0
,40,0,0.95,0,0.95,1,2,High Intensity Developed,15,Palustrine Emergent Wetland,High Intensity Developed to Palustrine Emergent Wetland,215,0.949019608,0.949019608,0.949019608,0.949019608,0,0.949019608,0.949019608,0,0.949019608
,41,0,0.24,0,0.24,1,2,High Intensity Developed,16,Estuarine Forested Wetland,High Intensity Developed to Estuarine Forested Wetland,216,0.949019608,0.949019608,0.949019608,0.235294118,0,0.235294118,0.235294118,0,0.235294118
,42,0,0.43,0,0.43,1,2,High Intensity Developed,17,Estuarine Scrub/Shrub Wetland,High Intensity Developed to Estuarine Scrub/Shrub Wetland,217,0.949019608,0.949019608,0.949019608,0.42745098,0,0.42745098,0.42745098,0,0.42745098
,43,0,0.69,0,0.69,1,2,High Intensity Developed,18,Estuarine Emergent Wetland,High Intensity Developed to Estuarine Emergent Wetland,218,0.949019608,0.949019608,0.949019608,0.68627451,0,0.68627451,0.68627451,0,0.68627451
,44,0,0,0.95,0.95,1,2,High Intensity Developed,19,Unconsolidated Shore,High Intensity Developed to Unconsolidated Shore,219,0.949019608,0.949019608,0.949019608,0,0.949019608,0.949019608,0,0.949019608,0.949019608
,45,0,0.95,0.95,0,1,2,High Intensity Developed,20,Bare Land,High Intensity Developed to Bare Land,220,0.949019608,0.949019608,0.949019608,0.949019608,0.949019608,0,0.949019608,0.949019608,0
,46,0,0,0,0.47,1,2,High Intensity Developed,21,Water,High Intensity Developed to Water,221,0.949019608,0.949019608,0.949019608,0,0,0.466666667,0,0,0.466666667
,47,0,0,0,0.95,1,2,High Intensity Developed,22,Palustrine Aquatic Bed,High Intensity Developed to Palustrine Aquatic Bed,222,0.949019608,0.949019608,0.949019608,0,0,0.949019608,0,0,0.949019608
,48,0,0.4,0.46,0.86,1,2,High Intensity Developed,23,Estuarine Aquatic Bed,High Intensity Developed to Estuarine Aquatic Bed,223,0.949019608,0.949019608,0.949019608,0.4,0.458823529,0.858823529,0.4,0.458823529,0.858823529
,49,0,0.98,0.82,0,1,2,High Intensity Developed,24,Tundra,High Intensity Developed to Tundra,224,0.949019608,0.949019608,0.949019608,0.976470588,0.819607843,0,0.976470588,0.819607843,0
,50,0,0.67,0.98,0.94,1,2,High Intensity Developed,25,Snow/Ice,High Intensity Developed to Snow/Ice,225,0.949019608,0.949019608,0.949019608,0.666666667,0.976470588,0.937254902,0.666666667,0.976470588,0.937254902
,51,0,0,0,0,1,3,Medium Intensity Developed,1,Unclassified,Medium Intensity Developed to Unclassified,301,0.658823529,0.6,0.658823529,0,0,0,0,0,0
,52,0,0.95,0.95,0.95,1,3,Medium Intensity Developed,2,High Intensity Developed,Medium Intensity Developed to High Intensity Developed,302,0.658823529,0.6,0.658823529,0.949019608,0.949019608,0.949019608,0.949019608,0.949019608,0.949019608
,53,33874,0.76,0.85,0.87,1,3,Medium Intensity Developed,3,Medium Intensity Developed,Medium Intensity Developed to Medium Intensity Developed,303,0.658823529,0.6,0.658823529,0.756862745,0.847058824,0.866666667,0.309803922,0.309803922,0.254901961
,54,0,0.56,0.46,0.49,1,3,Medium Intensity Developed,4,Low Intensity Developed,Medium Intensity Developed to Low Intensity Developed,304,0.658823529,0.6,0.658823529,0.556862745,0.458823529,0.48627451,0.556862745,0.458823529,0.48627451
,55,0,0.76,0.8,0.22,1,3,Medium Intensity Developed,5,Developed Open Space,Medium Intensity Developed to Developed Open Space,305,0.658823529,0.6,0.658823529,0.756862745,0.8,0.219607843,0.756862745,0.8,0.219607843
,56,0,0.33,0.13,0,1,3,Medium Intensity Developed,6,Cultivated,Medium Intensity Developed to Cultivated,306,0.658823529,0.6,0.658823529,0.329411765,0.125490196,0,0.329411765,0.125490196,0
,57,0,0.76,0.63,0.31,1,3,Medium Intensity Developed,7,Pasture/Hay,Medium Intensity Developed to Pasture/Hay,307,0.658823529,0.6,0.658823529,0.756862745,0.62745098,0.309803922,0.756862745,0.62745098,0.309803922
,58,0,0.95,0.73,0.53,1,3,Medium Intensity Developed,8,Grassland,Medium Intensity Developed to Grassland,308,0.658823529,0.6,0.658823529,0.949019608,0.729411765,0.529411765,0.949019608,0.729411765,0.529411765
,59,0,0,0.95,0,1,3,Medium Intensity Developed,9,Deciduous Forest,Medium Intensity Developed to Deciduous Forest,309,0.658823529,0.6,0.658823529,0,0.949019608,0,0,0.949019608,0
,60,0,0,0.23,0,1,3,Medium Intensity Developed,10,Evergreen Forest,Medium Intensity Developed to Evergreen Forest,310,0.658823529,0.6,0.658823529,0,0.22745098,0,0,0.22745098,0
,61,0,0.03,0.63,0.23,1,3,Medium Intensity Developed,11,Mixed Forest,Medium Intensity Developed to Mixed Forest,311,0.658823529,0.6,0.658823529,0.02745098,0.62745098,0.22745098,0.02745098,0.62745098,0.22745098
,62,0,0.43,0.43,0,1,3,Medium Intensity Developed,12,Scrub/Shrub,Medium Intensity Developed to Scrub/Shrub,312,0.658823529,0.6,0.658823529,0.42745098,0.42745098,0,0.42745098,0.42745098,0
,63,0,0,0.36,0.36,1,3,Medium Intensity Developed,13,Palustrine Forested Wetland,Medium Intensity Developed to Palustrine Forested Wetland,313,0.658823529,0.6,0.658823529,0,0.356862745,0.356862745,0,0.356862745,0.356862745
,64,0,0.95,0.43,0,1,3,Medium Intensity Developed,14,Palustrine Scrub/Shrub Wetland,Medium Intensity Developed to Palustrine Scrub/Shrub Wetland,314,0.658823529,0.6,0.658823529,0.949019608,0.42745098,0,0.949019608,0.42745098,0
,65,0,0.95,0,0.95,1,3,Medium Intensity Developed,15,Palustrine Emergent Wetland,Medium Intensity Developed to Palustrine Emergent Wetland,315,0.658823529,0.6,0.658823529,0.949019608,0,0.949019608,0.949019608,0,0.949019608
,66,0,0.24,0,0.24,1,3,Medium Intensity Developed,16,Estuarine Forested Wetland,Medium Intensity Developed to Estuarine Forested Wetland,316,0.658823529,0.6,0.658823529,0.235294118,0,0.235294118,0.235294118,0,0.235294118
,67,0,0.43,0,0.43,1,3,Medium Intensity Developed,17,Estuarine Scrub/Shrub Wetland,Medium Intensity Developed to Estuarine Scrub/Shrub Wetland,317,0.658823529,0.6,0.658823529,0.42745098,0,0.42745098,0.42745098,0,0.42745098
,68,0,0.69,0,0.69,1,3,Medium Intensity Developed,18,Estuarine Emergent Wetland,Medium Intensity Developed to Estuarine Emergent Wetland,318,0.658823529,0.6,0.658823529,0.68627451,0,0.68627451,0.68627451,0,0.68627451
,69,0,0,0.95,0.95,1,3,Medium Intensity Developed,19,Unconsolidated Shore,Medium Intensity Developed to Unconsolidated Shore,319,0.658823529,0.6,0.658823529,0,0.949019608,0.949019608,0,0.949019608,0.949019608
,70,0,0.95,0.95,0,1,3,Medium Intensity Developed,20,Bare Land,Medium Intensity Developed to Bare Land,320,0.658823529,0.6,0.658823529,0.949019608,0.949019608,0,0.949019608,0.949019608,0
,71,0,0,0,0.47,1,3,Medium Intensity Developed,21,Water,Medium Intensity Developed to Water,321,0.658823529,0.6,0.658823529,0,0,0.466666667,0,0,0.466666667
,72,0,0,0,0.95,1,3,Medium Intensity Developed,22,Palustrine Aquatic Bed,Medium Intensity Developed to Palustrine Aquatic Bed,322,0.658823529,0.6,0.658823529,0,0,0.949019608,0,0,0.949019608
,73,0,0.4,0.46,0.86,1,3,Medium Intensity Developed,23,Estuarine Aquatic Bed,Medium Intensity Developed to Estuarine Aquatic Bed,323,0.658823529,0.6,0.658823529,0.4,0.458823529,0.858823529,0.4,0.458823529,0.858823529
,74,0,0.98,0.82,0,1,3,Medium Intensity Developed,24,Tundra,Medium Intensity Developed to Tundra,324,0.658823529,0.6,0.658823529,0.976470588,0.819607843,0,0.976470588,0.819607843,0
,75,0,0.67,0.98,0.94,1,3,Medium Intensity Developed,25,Snow/Ice,Medium Intensity Developed to Snow/Ice,325,0.658823529,0.6,0.658823529,0.666666667,0.976470588,0.937254902,0.666666667,0.976470588,0.937254902
,76,0,0,0,0,1,4,Low Intensity Developed,1,Unclassified,Low Intensity Developed to Unclassified,401,0.556862745,0.458823529,0.48627451,0,0,0,0,0,0
,77,0,0.95,0.95,0.95,1,4,Low Intensity Developed,2,High Intensity Developed,Low Intensity Developed to High Intensity Developed,402,0.556862745,0.458823529,0.48627451,0.949019608,0.949019608,0.949019608,0.949019608,0.949019608,0.949019608
,78,0,0.66,0.6,0.66,1,4,Low Intensity Developed,3,Medium Intensity Developed,Low Intensity Developed to Medium Intensity Developed,403,0.556862745,0.458823529,0.48627451,0.658823529,0.6,0.658823529,0.658823529,0.6,0.658823529
,79,175446,0.76,0.85,0.87,1,4,Low Intensity Developed,4,Low Intensity Developed,Low Intensity Developed to Low Intensity Developed,404,0.556862745,0.458823529,0.48627451,0.756862745,0.847058824,0.866666667,0.309803922,0.309803922,0.254901961
,80,0,0.76,0.8,0.22,1,4,Low Intensity Developed,5,Developed Open Space,Low Intensity Developed to Developed Open Space,405,0.556862745,0.458823529,0.48627451,0.756862745,0.8,0.219607843,0.756862745,0.8,0.219607843
,81,0,0.33,0.13,0,1,4,Low Intensity Developed,6,Cultivated,Low Intensity Developed to Cultivated,406,0.556862745,0.458823529,0.48627451,0.329411765,0.125490196,0,0.329411765,0.125490196,0
,82,0,0.76,0.63,0.31,1,4,Low Intensity Developed,7,Pasture/Hay,Low Intensity Developed to Pasture/Hay,407,0.556862745,0.458823529,0.48627451,0.756862745,0.62745098,0.309803922,0.756862745,0.62745098,0.309803922
,83,0,0.95,0.73,0.53,1,4,Low Intensity Developed,8,Grassland,Low Intensity Developed to Grassland,408,0.556862745,0.458823529,0.48627451,0.949019608,0.729411765,0.529411765,0.949019608,0.729411765,0.529411765
,84,0,0,0.95,0,1,4,Low Intensity Developed,9,Deciduous Forest,Low Intensity Developed to Deciduous Forest,409,0.556862745,0.458823529,0.48627451,0,0.949019608,0,0,0.949019608,0
,85,0,0,0.23,0,1,4,Low Intensity Developed,10,Evergreen Forest,Low Intensity Developed to Evergreen Forest,410,0.556862745,0.458823529,0.48627451,0,0.22745098,0,0,0.22745098,0
,86,0,0.03,0.63,0.23,1,4,Low Intensity Developed,11,Mixed Forest,Low Intensity Developed to Mixed Forest,411,0.556862745,0.458823529,0.48627451,0.02745098,0.62745098,0.22745098,0.02745098,0.62745098,0.22745098
,87,0,0.43,0.43,0,1,4,Low Intensity Developed,12,Scrub/Shrub,Low Intensity Developed to Scrub/Shrub,412,0.556862745,0.458823529,0.48627451,0.42745098,0.42745098,0,0.42745098,0.42745098,0
,88,0,0,0.36,0.36,1,4,Low Intensity Developed,13,Palustrine Forested Wetland,Low Intensity Developed to Palustrine Forested Wetland,413,0.556862745,0.458823529,0.48627451,0,0.356862745,0.356862745,0,0.356862745,0.356862745
,89,0,0.95,0.43,0,1,4,Low Intensity Developed,14,Palustrine Scrub/Shrub Wetland,Low Intensity Developed to Palustrine Scrub/Shrub Wetland,414,0.556862745,0.458823529,0.48627451,0.949019608,0.42745098,0,0.949019608,0.42745098,0
,90,0,0.95,0,0.95,1,4,Low Intensity Developed,15,Palustrine Emergent Wetland,Low Intensity Developed to Palustrine Emergent Wetland,415,0.556862745,0.458823529,0.48627451,0.949019608,0,0.949019608,0.949019608,0,0.949019608
,91,0,0.24,0,0.24,1,4,Low Intensity Developed,16,Estuarine Forested Wetland,Low Intensity Developed to Estuarine Forested Wetland,416,0.556862745,0.458823529,0.48627451,0.235294118,0,0.235294118,0.235294118,0,0.235294118
,92,0,0.43,0,0.43,1,4,Low Intensity Developed,17,Estuarine Scrub/Shrub Wetland,Low Intensity Developed to Estuarine Scrub/Shrub Wetland,417,0.556862745,0.458823529,0.48627451,0.42745098,0,0.42745098,0.42745098,0,0.42745098
,93,0,0.69,0,0.69,1,4,Low Intensity Developed,18,Estuarine Emergent Wetland,Low Intensity Developed to Estuarine Emergent Wetland,418,0.556862745,0.458823529,0.48627451,0.68627451,0,0.68627451,0.68627451,0,0.68627451
,94,0,0,0.95,0.95,1,4,Low Intensity Developed,19,Unconsolidated Shore,Low Intensity Developed to Unconsolidated Shore,419,0.556862745,0.458823529,0.48627451,0,0.949019608,0.949019608,0,0.949019608,0.949019608
,95,0,0.95,0.95,0,1,4,Low Intensity Developed,20,Bare Land,Low Intensity Developed to Bare Land,420,0.556862745,0.458823529,0.48627451,0.949019608,0.949019608,0,0.949019608,0.949019608,0
,96,0,0,0,0.47,1,4,Low Intensity Developed,21,Water,Low Intensity Developed to Water,421,0.556862745,0.458823529,0.48627451,0,0,0.466666667,0,0,0.466666667
,97,0,0,0,0.95,1,4,Low Intensity Developed,22,Palustrine Aquatic Bed,Low Intensity Developed to Palustrine Aquatic Bed,422,0.556862745,0.458823529,0.48627451,0,0,0.949019608,0,0,0.949019608
,98,0,0.4,0.46,0.86,1,4,Low Intensity Developed,23,Estuarine Aquatic Bed,Low Intensity Developed to Estuarine Aquatic Bed,423,0.556862745,0.458823529,0.48627451,0.4,0.458823529,0.858823529,0.4,0.458823529,0.858823529
,99,0,0.98,0.82,0,1,4,Low Intensity Developed,24,Tundra,Low Intensity Developed to Tundra,424,0.556862745,0.458823529,0.48627451,0.976470588,0.819607843,0,0.976470588,0.819607843,0
,100,0,0.67,0.98,0.94,1,4,Low Intensity Developed,25,Snow/Ice,Low Intensity Developed to Snow/Ice,425,0.556862745,0.458823529,0.48627451,0.666666667,0.976470588,0.937254902,0.666666667,0.976470588,0.937254902
,101,0,0,0,0,1,5,Developed Open Space,1,Unclassified,Developed Open Space to Unclassified,501,0.756862745,0.8,0.219607843,0,0,0,0,0,0
,102,0,0.95,0.95,0.95,1,5,Developed Open Space,2,High Intensity Developed,Developed Open Space to High Intensity Developed,502,0.756862745,0.8,0.219607843,0.949019608,0.949019608,0.949019608,0.949019608,0.949019608,0.949019608
,103,0,0.66,0.6,0.66,1,5,Developed Open Space,3,Medium Intensity Developed,Developed Open Space to Medium Intensity Developed,503,0.756862745,0.8,0.219607843,0.658823529,0.6,0.658823529,0.658823529,0.6,0.658823529
,104,0,0.56,0.46,0.49,1,5,Developed Open Space,4,Low Intensity Developed,Developed Open Space to Low Intensity Developed,504,0.756862745,0.8,0.219607843,0.556862745,0.458823529,0.48627451,0.556862745,0.458823529,0.48627451
,105,64184,0.76,0.85,0.87,1,5,Developed Open Space,5,Developed Open Space,Developed Open Space to Developed Open Space,505,0.756862745,0.8,0.219607843,0.756862745,0.847058824,0.866666667,0.309803922,0.309803922,0.254901961
,106,0,0.33,0.13,0,1,5,Developed Open Space,6,Cultivated,Developed Open Space to Cultivated,506,0.756862745,0.8,0.219607843,0.329411765,0.125490196,0,0.329411765,0.125490196,0
,107,0,0.76,0.63,0.31,1,5,Developed Open Space,7,Pasture/Hay,Developed Open Space to Pasture/Hay,507,0.756862745,0.8,0.219607843,0.756862745,0.62745098,0.309803922,0.756862745,0.62745098,0.309803922
,108,0,0.95,0.73,0.53,1,5,Developed Open Space,8,Grassland,Developed Open Space to Grassland,508,0.756862745,0.8,0.219607843,0.949019608,0.729411765,0.529411765,0.949019608,0.729411765,0.529411765
,109,0,0,0.95,0,1,5,Developed Open Space,9,Deciduous Forest,Developed Open Space to Deciduous Forest,509,0.756862745,0.8,0.219607843,0,0.949019608,0,0,0.949019608,0
,110,0,0,0.23,0,1,5,Developed Open Space,10,Evergreen Forest,Developed Open Space to Evergreen Forest,510,0.756862745,0.8,0.219607843,0,0.22745098,0,0,0.22745098,0
,111,0,0.03,0.63,0.23,1,5,Developed Open Space,11,Mixed Forest,Developed Open Space to Mixed Forest,511,0.756862745,0.8,0.219607843,0.02745098,0.62745098,0.22745098,0.02745098,0.62745098,0.22745098
,112,0,0.43,0.43,0,1,5,Developed Open Space,12,Scrub/Shrub,Developed Open Space to Scrub/Shrub,512,0.756862745,0.8,0.219607843,0.42745098,0.42745098,0,0.42745098,0.42745098,0
,113,0,0,0.36,0.36,1,5,Developed Open Space,13,Palustrine Forested Wetland,Developed Open Space to Palustrine Forested Wetland,513,0.756862745,0.8,0.219607843,0,0.356862745,0.356862745,0,0.356862745,0.356862745
,114,0,0.95,0.43,0,1,5,Developed Open Space,14,Palustrine Scrub/Shrub Wetland,Developed Open Space to Palustrine Scrub/Shrub Wetland,514,0.756862745,0.8,0.219607843,0.949019608,0.42745098,0,0.949019608,0.42745098,0
,115,0,0.95,0,0.95,1,5,Developed Open Space,15,Palustrine Emergent Wetland,Developed Open Space to Palustrine Emergent Wetland,515,0.756862745,0.8,0.219607843,0.949019608,0,0.949019608,0.949019608,0,0.949019608
,116,0,0.24,0,0.24,1,5,Developed Open Space,16,Estuarine Forested Wetland,Developed Open Space to Estuarine Forested Wetland,516,0.756862745,0.8,0.219607843,0.235294118,0,0.235294118,0.235294118,0,0.235294118
,117,0,0.43,0,0.43,1,5,Developed Open Space,17,Estuarine Scrub/Shrub Wetland,Developed Open Space to Estuarine Scrub/Shrub Wetland,517,0.756862745,0.8,0.219607843,0.42745098,0,0.42745098,0.42745098,0,0.42745098
,118,0,0.69,0,0.69,1,5,Developed Open Space,18,Estuarine Emergent Wetland,Developed Open Space to Estuarine Emergent Wetland,518,0.756862745,0.8,0.219607843,0.68627451,0,0.68627451,0.68627451,0,0.68627451
,119,0,0,0.95,0.95,1,5,Developed Open Space,19,Unconsolidated Shore,Developed Open Space to Unconsolidated Shore,519,0.756862745,0.8,0.219607843,0,0.949019608,0.949019608,0,0.949019608,0.949019608
,120,0,0.95,0.95,0,1,5,Developed Open Space,20,Bare Land,Developed Open Space to Bare Land,520,0.756862745,0.8,0.219607843,0.949019608,0.949019608,0,0.949019608,0.949019608,0
,121,0,0,0,0.47,1,5,Developed Open Space,21,Water,Developed Open Space to Water,521,0.756862745,0.8,0.219607843,0,0,0.466666667,0,0,0.466666667
,122,0,0,0,0.95,1,5,Developed Open Space,22,Palustrine Aquatic Bed,Developed Open Space to Palustrine Aquatic Bed,522,0.756862745,0.8,0.219607843,0,0,0.949019608,0,0,0.949019608
,123,0,0.4,0.46,0.86,1,5,Developed Open Space,23,Estuarine Aquatic Bed,Developed Open Space to Estuarine Aquatic Bed,523,0.756862745,0.8,0.219607843,0.4,0.458823529,0.858823529,0.4,0.458823529,0.858823529
,124,0,0.98,0.82,0,1,5,Developed Open Space,24,Tundra,Developed Open Space to Tundra,524,0.756862745,0.8,0.219607843,0.976470588,0.819607843,0,0.976470588,0.819607843,0
,125,0,0.67,0.98,0.94,1,5,Developed Open Space,25,Snow/Ice,Developed Open Space to Snow/Ice,525,0.756862745,0.8,0.219607843,0.666666667,0.976470588,0.937254902,0.666666667,0.976470588,0.937254902
,126,0,0,0,0,1,6,Cultivated,1,Unclassified,Cultivated to Unclassified,601,0.329411765,0.125490196,0,0,0,0,0,0,0
,127,0,0.95,0.95,0.95,1,6,Cultivated,2,High Intensity Developed,Cultivated to High Intensity Developed,602,0.329411765,0.125490196,0,0.949019608,0.949019608,0.949019608,0.949019608,0.949019608,0.949019608
,128,0,0.66,0.6,0.66,1,6,Cultivated,3,Medium Intensity Developed,Cultivated to Medium Intensity Developed,603,0.329411765,0.125490196,0,0.658823529,0.6,0.658823529,0.658823529,0.6,0.658823529
,129,13,0.56,0.46,0.49,1,6,Cultivated,4,Low Intensity Developed,Cultivated to Low Intensity Developed,604,0.329411765,0.125490196,0,0.556862745,0.458823529,0.48627451,0.556862745,0.458823529,0.48627451
,130,2,0.76,0.8,0.22,1,6,Cultivated,5,Developed Open Space,Cultivated to Developed Open Space,605,0.329411765,0.125490196,0,0.756862745,0.8,0.219607843,0.756862745,0.8,0.219607843
,131,190011,0.76,0.85,0.87,1,6,Cultivated,6,Cultivated,Cultivated to Cultivated,606,0.329411765,0.125490196,0,0.756862745,0.847058824,0.866666667,0.309803922,0.309803922,0.254901961
